originid,destinationid,distance,duration
1,2,1360,1146
1,3,2089,1705
1,4,1776,1333
1,5,1485,1140
1,6,1323,1022
1,7,1788,1342
1,8,1526,1200
1,9,1814,1587
1,10,2967,2332
1,11,1300,985
1,12,782,562
1,13,1805,1401
1,14,2174,1724
1,15,1491,1228
1,16,1440,1177
1,17,2053,1624
1,18,1379,1112
1,19,1694,1281
1,20,1599,1337
1,21,1708,1399
1,22,1824,1375
1,23,713,625
1,24,1455,1243
1,25,1455,1243
1,26,531,440
1,27,1997,1496
1,28,1600,1337
2,1,1360,993
2,3,2832,2213
2,4,1861,1403
2,5,803,563
2,6,701,484
2,7,1872,1412
2,8,561,396
2,9,648,632
2,10,2687,2036
2,11,704,503
2,12,732,497
2,13,1528,1109
2,14,1382,1060
2,15,140,119
2,16,160,130
2,17,1262,960
2,18,214,157
2,19,1851,1399
2,20,171,157
2,21,743,593
2,22,1981,1493
2,23,831,615
2,24,95,101
2,25,95,101
2,26,1013,739
2,27,2081,1566
2,28,173,158
3,1,2089,1568
3,2,2832,2249
3,4,3198,2389
3,5,3341,2540
3,6,3180,2423
3,7,3209,2397
3,8,3382,2601
3,9,3179,2584
3,10,4442,3390
3,11,3156,2386
3,12,2638,1962
3,13,3558,2714
3,14,4030,3124
3,15,2972,2369
3,16,2992,2380
3,17,3909,3024
3,18,3046,2407
3,19,3079,2301
3,20,2887,2299
3,21,3564,2799
3,22,3064,2290
3,23,2001,1573
3,24,2860,2287
3,25,2860,2287
3,26,1820,1396
3,27,3243,2420
3,28,2889,2299
4,1,1776,1399
4,2,1861,1623
4,3,3198,2578
4,5,1302,1114
4,6,1236,1051
4,7,11,8
4,8,1493,1294
4,9,2161,1977
4,10,1383,1124
4,11,1156,967
4,12,1403,1132
4,13,692,570
4,14,1772,1527
4,15,1838,1617
4,16,1787,1567
4,17,1651,1427
4,18,1726,1502
4,19,247,199
4,20,1992,1751
4,21,1771,1570
4,22,295,217
4,23,2100,1729
4,24,1952,1720
4,25,1952,1720
4,26,1918,1551
4,27,220,162
4,28,1990,1751
5,1,1551,1164
5,2,803,698
5,3,3407,2700
5,4,1302,1038
5,6,174,158
5,7,1314,1046
5,8,393,335
5,9,1102,1052
5,10,2128,1671
5,11,229,179
5,12,769,586
5,13,969,743
5,14,954,807
5,15,780,692
5,16,728,641
5,17,833,707
5,18,668,576
5,19,1485,1157
5,20,975,847
5,21,671,611
5,22,1597,1255
5,23,1633,1313
5,24,893,794
5,25,893,794
5,26,1815,1431
5,27,1523,1201
5,28,973,848
6,1,1328,1075
6,2,701,636
6,3,3184,2611
6,4,1236,973
6,5,174,157
6,7,1248,982
6,8,341,311
6,9,1001,989
6,10,2063,1606
6,11,44,52
6,12,668,523
6,13,903,679
6,14,888,742
6,15,678,630
6,16,627,579
6,17,767,642
6,18,567,514
6,19,1419,1093
6,20,832,763
6,21,619,587
6,22,1531,1190
6,23,1532,1251
6,24,792,732
6,25,792,732
6,26,1714,1369
6,27,1457,1136
6,28,831,764
7,1,1788,1407
7,2,1872,1632
7,3,3209,2586
7,4,11,8
7,5,1314,1122
7,6,1248,1059
7,8,1504,1302
7,9,2172,1985
7,10,1395,1132
7,11,1168,975
7,12,1415,1140
7,13,704,578
7,14,1783,1535
7,15,1849,1626
7,16,1798,1575
7,17,1663,1435
7,18,1738,1510
7,19,236,191
7,20,2003,1759
7,21,1782,1579
7,22,283,209
7,23,2111,1737
7,24,1963,1728
7,25,1963,1728
7,26,1930,1560
7,27,209,154
7,28,2002,1760
8,1,1526,1127
8,2,561,485
8,3,3382,2664
8,4,1493,1150
8,5,393,278
8,6,341,233
8,7,1504,1158
8,9,800,766
8,10,2319,1783
8,11,337,250
8,12,744,549
8,13,1160,855
8,14,865,690
8,15,538,479
8,16,487,429
8,17,745,590
8,18,426,364
8,19,1675,1269
8,20,626,545
8,21,329,313
8,22,1788,1367
8,23,1392,1100
8,24,652,581
8,25,652,581
8,26,1574,1218
8,27,1713,1313
8,28,625,545
9,1,1891,1278
9,2,758,484
9,3,3179,2376
9,4,2161,1660
9,5,1102,819
9,6,1001,740
9,7,2172,1668
9,8,800,591
9,10,2987,2292
9,11,1004,759
9,12,1032,753
9,13,1827,1365
9,14,1614,1240
9,15,822,521
9,16,574,478
9,17,1494,1140
9,18,434,339
9,19,2352,1781
9,20,678,427
9,21,615,468
9,22,2482,1875
9,23,1178,778
9,24,693,439
9,25,693,439
9,26,1360,898
9,27,2381,1822
9,28,676,424
10,1,2971,2298
10,2,2691,2172
10,3,4498,3561
10,4,1387,1034
10,5,2132,1662
10,6,2067,1599
10,7,1399,1042
10,8,2323,1842
10,9,2991,2525
10,11,1987,1515
10,12,2644,2022
10,13,1706,1257
10,14,1602,1351
10,15,2668,2166
10,16,2617,2115
10,17,1723,1431
10,18,2556,2050
10,19,1535,1144
10,20,2822,2299
10,21,2601,2123
10,22,1495,1117
10,23,3389,2688
10,24,2782,2268
10,25,2782,2268
10,26,3207,2511
10,27,1631,1211
10,28,2821,2300
11,1,1304,1038
11,2,704,657
11,3,3161,2574
11,4,1156,900
11,5,229,200
11,6,44,52
11,7,1168,908
11,8,337,327
11,9,1004,1010
11,10,1983,1533
11,12,658,507
11,13,823,605
11,14,918,784
11,15,681,651
11,16,630,600
11,17,798,684
11,18,570,535
11,19,1339,1019
11,20,836,784
11,21,614,604
11,22,1451,1117
11,23,1535,1272
11,24,795,753
11,25,795,753
11,26,1603,1309
11,27,1377,1063
11,28,834,785
12,1,782,578
12,2,732,673
12,3,2638,2115
12,4,1403,1081
12,5,730,606
12,6,568,488
12,7,1415,1089
12,8,744,639
12,9,1032,1026
12,10,2527,1985
12,11,545,452
12,13,1368,1057
12,14,1418,1190
12,15,709,667
12,16,658,616
12,17,1298,1090
12,18,597,551
12,19,1321,1028
12,20,867,802
12,21,926,838
12,22,1451,1123
12,23,1262,1035
12,24,827,771
12,25,827,771
12,26,1080,849
12,27,1624,1243
12,28,866,803
13,1,1805,1438
13,2,1528,1316
13,3,3558,2887
13,4,692,557
13,5,969,806
13,6,903,743
13,7,704,565
13,8,1160,986
13,9,1827,1669
13,10,1702,1329
13,11,823,659
13,12,1481,1166
13,14,1439,1220
13,15,1505,1310
13,16,1454,1259
13,17,1318,1120
13,18,1393,1194
13,19,875,676
13,20,1659,1443
13,21,1438,1263
13,22,987,774
13,23,2358,1930
13,24,1619,1412
13,25,1619,1412
13,26,2104,1710
13,27,913,719
13,28,1657,1444
14,1,2266,1690
14,2,1403,1118
14,3,4123,3227
14,4,1798,1378
14,5,981,737
14,6,923,671
14,7,1810,1386
14,8,886,665
14,9,1634,1391
14,10,1602,1198
14,11,945,705
14,12,1484,1112
14,13,1465,1083
14,15,1380,1112
14,16,1328,1061
14,17,121,79
14,18,1268,997
14,19,1981,1497
14,20,1468,1178
14,21,1163,937
14,22,2093,1594
14,23,2233,1733
14,24,1493,1214
14,25,1493,1214
14,26,2415,1851
14,27,2019,1540
14,28,1466,1178
15,1,1491,1083
15,2,140,133
15,3,2988,2330
15,4,1838,1412
15,5,780,571
15,6,678,492
15,7,1849,1420
15,8,568,390
15,9,688,617
15,10,2664,2044
15,11,681,511
15,12,709,505
15,13,1505,1117
15,14,1389,1054
15,16,73,63
15,17,1268,954
15,18,191,166
15,19,1932,1486
15,20,168,142
15,21,689,562
15,22,2062,1580
15,23,987,732
15,24,128,111
15,25,128,111
15,26,1169,856
15,27,2058,1574
15,28,167,143
16,1,1440,1045
16,2,160,157
16,3,2992,2371
16,4,1787,1374
16,5,728,533
16,6,627,454
16,7,1798,1382
16,8,487,366
16,9,574,603
16,10,2613,2006
16,11,630,473
16,12,658,467
16,13,1454,1079
16,14,1308,1030
16,15,73,69
16,17,1188,930
16,18,139,128
16,19,1978,1495
16,20,232,202
16,21,669,563
16,22,2108,1589
16,23,991,772
16,24,202,180
16,25,202,180
16,26,1173,890
16,27,2007,1536
16,28,230,203
17,1,2146,1611
17,2,1282,1039
17,3,4002,3147
17,4,1678,1298
17,5,860,658
17,6,803,592
17,7,1689,1306
17,8,765,586
17,9,1514,1311
17,10,1723,1298
17,11,824,626
17,12,1364,1032
17,13,1345,1003
17,14,121,100
17,15,1259,1033
17,16,1208,982
17,18,1147,917
17,19,1860,1417
17,20,1347,1098
17,21,1043,858
17,22,1973,1515
17,23,2113,1654
17,24,1373,1135
17,25,1373,1135
17,26,2295,1772
17,27,1898,1461
17,28,1345,1099
18,1,1379,992
18,2,214,196
18,3,3046,2409
18,4,1726,1320
18,5,668,480
18,6,567,401
18,7,1738,1328
18,8,426,313
18,9,434,475
18,10,2552,1953
18,11,570,420
18,12,597,414
18,13,1393,1025
18,14,1248,977
18,15,191,190
18,16,139,139
18,17,1127,877
18,19,1918,1442
18,20,345,323
18,21,609,510
18,22,2048,1536
18,23,1044,811
18,24,304,292
18,25,304,292
18,26,1226,929
18,27,1947,1483
18,28,343,324
19,1,1694,1351
19,2,1851,1595
19,3,3079,2489
19,4,247,192
19,5,1469,1237
19,6,1403,1174
19,7,236,184
19,8,1660,1417
19,9,2377,2127
19,10,1531,1231
19,11,1323,1090
19,12,1321,1084
19,13,859,693
19,14,1939,1651
19,15,1928,1669
19,16,1941,1671
19,17,1818,1551
19,18,1943,1652
19,20,1986,1723
19,21,1938,1694
19,22,130,95
19,23,2017,1681
19,24,1946,1692
19,25,1946,1692
19,26,1836,1504
19,27,284,219
19,28,1985,1724
20,1,1599,1130
20,2,183,129
20,3,2887,2229
20,4,2075,1542
20,5,975,670
20,6,836,595
20,7,2086,1551
20,8,626,418
20,9,608,545
20,10,2901,2175
20,11,919,642
20,12,871,611
20,13,1742,1248
20,14,1447,1082
20,15,168,113
20,16,232,163
20,17,1327,982
20,18,345,268
20,19,1986,1512
20,21,748,590
20,22,2116,1606
20,23,886,631
20,24,76,57
20,25,76,57
20,26,1067,755
20,27,2295,1705
20,28,2,3
21,1,1708,1236
21,2,743,592
21,3,3564,2772
21,4,1771,1348
21,5,671,476
21,6,619,431
21,7,1782,1356
21,8,329,235
21,9,615,565
21,10,2597,1981
21,11,614,452
21,12,926,657
21,13,1438,1053
21,14,1143,884
21,15,689,574
21,16,669,535
21,17,1023,784
21,18,609,470
21,19,1953,1467
21,20,748,635
21,22,2066,1565
21,23,1574,1207
21,24,818,685
21,25,818,685
21,26,1756,1325
21,27,1991,1511
21,28,746,632
22,1,1824,1447
22,2,1981,1690
22,3,3064,2491
22,4,299,227
22,5,1601,1341
22,6,1535,1277
22,7,287,219
22,8,1791,1521
22,9,2507,2223
22,10,1495,1213
22,11,1455,1193
22,12,1451,1180
22,13,991,797
22,14,2070,1754
22,15,2058,1764
22,16,2071,1766
22,17,1950,1654
22,18,2073,1748
22,19,130,96
22,20,2116,1818
22,21,2069,1797
22,23,2147,1776
22,24,2076,1787
22,25,2076,1787
22,26,1965,1599
22,27,230,170
22,28,2115,1819
23,1,713,514
23,2,831,677
23,3,2001,1599
23,4,2100,1542
23,5,1633,1240
23,6,1532,1161
23,7,2111,1550
23,8,1392,1073
23,9,1178,1012
23,10,3384,2590
23,11,1535,1180
23,12,1262,908
23,13,2358,1785
23,14,2213,1737
23,15,970,796
23,16,991,807
23,17,2092,1637
23,18,1044,834
23,19,2017,1489
23,20,886,726
23,21,1574,1270
23,22,2147,1583
23,24,859,714
23,25,859,714
23,26,182,124
23,27,2321,1704
23,28,887,726
24,1,1455,1073
24,2,95,80
24,3,2860,2219
24,4,1956,1483
24,5,898,643
24,6,797,564
24,7,1967,1491
24,8,696,472
24,9,693,580
24,10,2782,2116
24,11,800,583
24,12,827,579
24,13,1623,1188
24,14,1517,1136
24,15,128,82
24,16,202,145
24,17,1397,1036
24,18,304,237
24,19,1946,1478
24,20,76,56
24,21,824,644
24,22,2076,1573
24,23,859,621
24,25,0,0
24,26,1041,745
24,27,2176,1646
24,28,78,57
25,1,1455,1073
25,2,95,80
25,3,2860,2219
25,4,1956,1483
25,5,898,643
25,6,797,564
25,7,1967,1491
25,8,696,472
25,9,693,580
25,10,2782,2116
25,11,800,583
25,12,827,579
25,13,1623,1188
25,14,1517,1136
25,15,128,82
25,16,202,145
25,17,1397,1036
25,18,304,237
25,19,1946,1478
25,20,76,56
25,21,824,644
25,22,2076,1573
25,23,859,621
25,24,0,0
25,26,1041,745
25,27,2176,1646
25,28,78,57
26,1,531,380
26,2,1013,852
26,3,1820,1472
26,4,1918,1415
26,5,1783,1352
26,6,1622,1234
26,7,1930,1424
26,8,1574,1242
26,9,1360,1183
26,10,3203,2464
26,11,1599,1197
26,12,1080,773
26,13,2104,1613
26,14,2395,1906
26,15,1152,971
26,16,1173,976
26,17,2274,1806
26,18,1226,1003
26,19,1836,1363
26,20,1067,901
26,21,1756,1439
26,22,1965,1457
26,23,182,175
26,24,1041,889
26,25,1041,889
26,27,2139,1578
26,28,1069,901
27,1,1997,1562
27,2,2081,1786
27,3,3243,2621
27,4,220,162
27,5,1523,1277
27,6,1457,1213
27,7,209,154
27,8,1713,1457
27,9,2381,2139
27,10,1631,1308
27,11,1377,1129
27,12,1624,1294
27,13,913,732
27,14,1992,1690
27,15,2058,1780
27,16,2007,1729
27,17,1872,1590
27,18,1947,1664
27,19,280,209
27,20,2212,1913
27,21,1991,1733
27,22,230,170
27,23,2321,1891
27,24,2172,1882
27,25,2172,1882
27,26,2139,1714
27,28,2211,1914
28,1,1600,1132
28,2,184,130
28,3,2889,2230
28,4,2073,1543
28,5,973,671
28,6,834,596
28,7,2085,1552
28,8,625,419
28,9,607,542
28,10,2900,2176
28,11,917,643
28,12,869,612
28,13,1740,1249
28,14,1446,1083
28,15,170,114
28,16,230,164
28,17,1325,983
28,18,343,269
28,19,1985,1513
28,20,2,3
28,21,746,587
28,22,2115,1607
28,23,887,632
28,24,78,58
28,25,78,58
28,26,1069,756
28,27,2294,1706
